event,chrom,strand,upIntStart,upIntEnd,dnIntStart,dnIntEnd,geneName,lengthDiff,label,group,wt_neural_high_pred,ME,geneID,mes3,mes5,conservation,neural_high_pred
HsaEX0060838,chr20,+,45835116,45840447,45840458,45840638,SNX21,11,hi,known_mic,0.99967563,,,,,,
HsaEX1024107,chr2,-,201660346,201666333,201658518,201660331,MPP4,15,hi,known_mic,0.29372534,,,,,,
HsaEX0069336,chr9,+,35370396,35371933,35371939,35375126,UNC13B,6,hi,known_mic,0.94325924,,,,,,
HsaEX0052258,chr4,+,159343404,159344035,159344059,159345105,RAPGEF2,24,hi,known_mic,0.9996619,,,,,,
HsaEX0049362,chr1,+,203061032,203061651,203061678,203063827,PPFIA4,27,hi,known_mic,0.13439806,,,,,,
HsaEX0035103,chrX,-,153873242,153875760,153872697,153873227,L1CAM,15,hi,known_mic,0.99959975,,,,,,
HsaEX0049902,chr11,-,129929421,129931015,129925229,129929409,PRDM10,12,hi,known_mic,0.99996746,,,,,,
HsaEX0061551,chr9,+,128609284,128609650,128609665,128611713,SPTAN1,15,hi,known_mic,0.520392,,,,,,
HsaEX0044642,chr4,+,182743419,182744142,182744163,182751799,TENM3,21,hi,known_mic,0.99913436,,,,,,
HsaEX0058125,chr22,+,50706152,50711614,50711638,50714916,SHANK3,24,hi,known_mic,0.9997098,,,,,,
HsaEX0050329,chr4,-,16035761,16038945,16033509,16035734,PROM1,27,hi,known_mic,0.30308452,,,,,,
HsaEX0016300,chr10,+,69872210,69878038,69878065,69880502,COL13A1,27,hi,known_mic,0.9998229,,,,,,
HsaEX0067897,chr22,-,27990812,27992586,27990007,27990788,TTC28,24,hi,known_mic,0.99997187,,,,,,
HsaEX0018764,chr2,-,74363628,74365074,74363427,74363613,DCTN1,15,hi,known_mic,0.99979407,,,,,,
HsaEX0011689,chr9,-,109086020,109087172,109080943,109085996,TMEM245,24,hi,known_mic,0.67775303,,,,,,
HsaEX6091027,chr10,+,125988675,125989429,125989447,125995416,FANK1,18,hi,known_mic,0.9958902,,,,,,
HsaEX0004127,chr4,+,113311399,113313683,113313695,113317706,ANK2,12,hi,known_mic,0.9996338,,,,,,
HsaEX0031380,chr3,+,9903064,9903396,9903412,9904031,IL17RE,16,hi,known_mic,0.99343044,,,,,,
HsaEX0016976,chr5,+,173932500,173943025,173943049,173944966,CPEB4,24,hi,known_mic,0.60137796,,,,,,
HsaEX0027507,chr17,-,29578988,29581337,29578779,29578961,GIT1,27,hi,known_mic,0.9996934,,,,,,
HsaEX1035890,chr19,+,38442453,38442602,38442623,38443557,RYR1,21,hi,known_mic,0.9994424,,,,,,
HsaEX0039306,chr17,+,4893067,4893285,4893309,4893433,MINK1,24,hi,known_mic,0.99996436,,,,,,
HsaEX0020546,chrX,+,118683621,118685519,118685537,118685687,DOCK11,18,hi,known_mic,0.30228645,,,,,,
HsaEX0049811,chr11,+,68603492,68609610,68609628,68609903,PPP6R3,18,hi,known_mic,0.9985624,,,,,,
HsaEX0034475,chr1,+,10272306,10273013,10273031,10275427,KIF1B,18,hi,known_mic,0.025101949,,,,,,
HsaEX0074506,chr7,+,30285826,30307040,30307047,30323641,ZNRF2,7,hi,known_mic,0.0061912998,,,,,,
HsaEX0043752,chr2,+,27435227,27435722,27435746,27436752,NRBP1,24,hi,known_mic,0.99982077,,,,,,
HsaEX0051167,chr6,-,128001207,128003196,127998904,128001195,PTPRK,12,hi,known_mic,0.9996333,,,,,,
HsaEX0056964,chr10,-,100508469,100509006,100508051,100508460,SEC31B,9,hi,known_mic,0.9184721,,,,,,
HsaEX0012069,chr2,-,151870861,151872416,151870611,151870841,CACNB4,20,hi,known_mic,0.99915683,,,,,,
HsaEX1044319,chr22,+,31945678,31947463,31947485,31950307,YWHAH,22,hi,known_mic,0.9993498,,,,,,
HsaEX0051224,chr19,-,5229342,5229490,5225844,5229315,PTPRS,27,hi,known_mic,0.99996984,,,,,,
HsaEX0051667,chr2,+,135164696,135167692,135167713,135168544,RAB3GAP1,21,hi,known_mic,0.9962735,,,,,,
HsaEX0006966,chr17,+,42507627,42508571,42508589,42513860,ATP6V0A1,18,hi,known_mic,0.9993957,,,,,,
HsaEX0005529,chr17,+,12958897,12973301,12973319,12974088,ARHGAP44,18,hi,known_mic,0.997021,,,,,,
HsaEX0070972,chr4,+,176163293,176166123,176166144,176168671,WDR17,21,hi,known_mic,0.99730563,,,,,,
HsaEX0037668,chr2,+,101867309,101868028,101868037,101869621,MAP4K4,9,hi,known_mic,0.99895465,,,,,,
HsaEX0006681,chr14,+,50628462,50629994,50630009,50632228,ATL1,15,hi,known_mic,0.9989792,,,,,,
HsaEX0021607,chr12,-,92846276,92851110,92842581,92846261,EEA1,15,hi,known_mic,0.99810433,,,,,,
HsaEX1033633,chr10,+,99431265,99431929,99431948,99433545,RP11-441O15.3,19,hi,known_mic,0.23694512,,,,,,
HsaEX0061640,chr20,+,37386174,37386459,37386477,37393894,SRC,18,hi,known_mic,0.9999795,,,,,,
HsaEX0051110,chr9,-,8454591,8460410,8449837,8454579,PTPRD,12,hi,known_mic,0.9827512,,,,,,
HsaEX1032405,chr12,-,98498894,98502582,98493484,98498888,RP11-181C3.1,6,hi,known_mic,0.9979309,,,,,,
HsaEX0043857,chr2,-,50621249,50623313,50620183,50621225,NRXN1,24,hi,known_mic,0.99989176,,,,,,
HsaEX0011961,chr3,+,53801425,53802146,53802173,53803422,CACNA1D,27,hi,known_mic,0.78907305,,,,,,
HsaEX0042666,chr1,+,204988806,204991291,204991306,204997169,NFASC,15,hi,known_mic,0.97436255,,,,,,
HsaEX0044638,chr4,+,182688351,182711574,182711601,182714086,TENM3,27,hi,known_mic,0.9989843,,,,,,
HsaEX0015476,chr2,-,121427430,121430072,121425306,121427403,CLASP1,27,hi,known_mic,0.9995621,,,,,,
HsaEX0038690,chr15,+,99690428,99703361,99703385,99706728,MEF2A,24,hi,known_mic,0.9993649,,,,,,
HsaEX0020668,chr13,-,98809128,98809351,98807807,98809122,DOCK9,6,hi,known_mic,0.9996215,,,,,,
HsaEX0063208,chr21,-,32676355,32678644,32673531,32676331,SYNJ1,24,hi,known_mic,0.9999025,,,,,,
HsaEX0010348,chr1,+,172575623,172577538,172577559,172577763,SUCO,21,hi,known_mic,0.99956065,,,,,,
HsaEX0051216,chr19,-,5256119,5258016,5246045,5256107,PTPRS,12,hi,known_mic,0.5355081,,,,,,
HsaEX0023360,chr1,-,92536046,92563641,92513970,92536036,EVI5,10,hi,known_mic,0.5288498,,,,,,
HsaEX0023051,chr20,+,35548865,35554371,35554386,35555043,ERGIC3,15,hi,known_mic,0.99996424,,,,,,
HsaEX0058030,chr9,-,129013019,129014410,129012298,129013007,SH3GLB2,12,hi,known_mic,0.39128897,,,,,,
HsaEX0037158,chr1,+,39459249,39459820,39459832,39460631,MACF1,12,hi,known_mic,0.011343517,,,,,,
HsaEX0018354,chr19,+,48474949,48477716,48477719,48478068,CYTH2,3,hi,known_mic,0.99815077,,,,,,
HsaEX0052287,chr5,-,131469815,131472586,131464281,131469800,RAPGEF6,15,hi,known_mic,0.24222809,,,,,,
HsaEX0042933,chr20,-,25486747,25489243,25482100,25486738,NINL,9,hi,known_mic,0.9991498,,,,,,
HsaEX0034466,chr2,-,240772596,240773113,240771104,240772569,KIF1A,27,hi,known_mic,0.3999725,,,,,,
HsaEX0051138,chr1,+,43598913,43602070,43602097,43603415,PTPRF,27,hi,known_mic,0.826259,,,,,,
HsaEX0004874,chr16,-,71767885,71771139,71765650,71767876,AP1G1,9,hi,known_mic,0.9996039,,,,,,
HsaEX0060157,chr4,+,20488982,20490802,20490814,20491760,SLIT2,12,hi,known_mic,0.99990225,,,,,,
HsaEX0044086,chr1,+,156873959,156874382,156874400,156874570,NTRK1,18,hi,known_mic,0.9998958,,,,,,
HsaEX0040737,chr16,-,70679323,70679629,70678409,70679314,MTSS1L,9,hi,known_mic,0.99915886,,,,,,
HsaEX0042574,chr9,-,137455634,137456410,137454443,137455628,NSMF,6,hi,known_mic,0.9752611,,,,,,
HsaEX0012296,chr1,+,7747781,7749770,7749791,7751198,CAMTA1,21,hi,known_mic,0.40778762,,,,,,
HsaEX0044588,chrX,+,129576552,129584343,129584367,129587001,OCRL,24,hi,known_mic,0.99980646,,,,,,
HsaEX0034505,chr12,-,39330262,39330745,39326324,39330241,KIF21A,21,hi,known_mic,0.97837037,,,,,,
HsaEX0048202,chr8,-,143938415,143938630,143938240,143938400,PLEC,15,hi,known_mic,0.99986637,,,,,,
HsaEX0044622,chrX,-,124487229,124497015,124481964,124487208,TENM1,21,hi,known_mic,0.9980286,,,,,,
HsaEX0040951,chr17,-,8576669,8577235,8575229,8576642,MYH10,27,hi,known_mic,0.9993206,,,,,,
HsaEX0039778,chr12,+,62543198,62544765,62544768,62544897,MON2,3,hi,known_mic,0.998728,,,,,,
HsaEX1004772,chr10,+,102890678,102897972,102897997,102900592,AS3MT,25,hi,known_mic,0.99594575,,,,,,
HsaEX1039788,chr21,-,32634884,32638907,32631801,32634860,SYNJ1,24,hi,known_mic,0.9976693,,,,,,
HsaEX0017872,chr11,+,57806035,57806460,57806478,57806914,CTNND1,18,hi,known_mic,0.9997148,,,,,,
HsaEX0050855,chr8,-,140769592,140789473,140764290,140769574,PTK2,18,hi,known_mic,0.9996153,,,,,,
HsaEX1036078,chr11,-,10016979,10020162,10016779,10016952,SBF2,27,hi,known_mic,0.9988463,,,,,,
HsaEX0028052,chr6,-,117577471,117578899,117575352,117577447,GOPC,24,hi,known_mic,0.9998055,,,,,,
HsaEX0015596,chr16,+,10971230,10972553,10972559,10972937,CLEC16A,6,hi,known_mic,0.9995889,,,,,,
HsaEX0022427,chr1,-,225531057,225554905,225530638,225531045,ENAH,12,hi,known_mic,0.006032136,,,,,,
HsaEX0016969,chr10,-,92158072,92180962,92145112,92158048,CPEB3,24,hi,known_mic,0.999645,,,,,,
HsaEX0015474,chr2,-,121409047,121410865,121407715,121409023,CLASP1,24,hi,known_mic,0.99981385,,,,,,
HsaEX0010376,chr1,+,226596981,226600665,226600674,226602005,STUM,9,hi,known_mic,0.9988166,,,,,,
HsaEX1029868,chr9,-,95450139,95453477,95449940,95450123,PTCH1,16,hi,known_mic,0.0121809235,,,,,,
HsaEX0025815,chr4,+,53428183,53440581,53440608,53442652,FIP1L1,27,hi,known_mic,0.9992957,,,,,,
HsaEX0008095,chr2,-,127053445,127059010,127051243,127053421,BIN1,24,hi,known_mic,0.99991214,,,,,,
HsaEX0063374,chr10,+,122242001,122245064,122245073,122248642,TACC2,9,hi,known_mic,0.99905974,,,,,,
HsaEX0047810,chr16,-,2113059,2113160,2112963,2113040,PKD1,19,hi,known_mic,0.9983852,,,,,,
HsaEX0060835,chr5,+,122826193,122826637,122826649,122827378,SNX2,12,hi,known_mic,0.0066321907,,,,,,
HsaEX0053673,chr8,+,103697296,103716308,103716320,103766226,RIMS2,12,hi,known_mic,0.9999423,,,,,,
HsaEX0048492,chrX,+,115636978,115640109,115640136,115640407,PLS3,27,hi,known_mic,0.9991591,,,,,,
HsaEX0049118,chr20,+,18472909,18473241,18473262,18473390,POLR3F,21,hi,known_mic,0.9966048,,,,,,
HsaEX0034463,chr2,-,240728412,240734718,240726940,240728388,KIF1A,24,hi,known_mic,0.9986541,,,,,,
HsaEX0062697,chr12,-,130799190,130801152,130798635,130799167,STX2,23,hi,known_mic,0.9990396,,,,,,
HsaEX0041746,chr1,+,201789792,201790553,201790577,201790688,NAV1,24,hi,known_mic,0.9697034,,,,,,
HsaEX0020439,chr9,+,128247486,128247923,128247935,128248582,DNM1,12,hi,known_mic,0.052639723,,,,,,
HsaEX0051317,chr7,-,105496971,105502419,105495253,105496953,PUS7,18,hi,known_mic,0.011947334,,,,,,
HsaEX0028492,chr19,+,35022038,35022899,35022911,35023235,GRAMD1A,12,hi,known_mic,0.999506,,,,,,
HsaEX1011149,chr12,-,57541372,57546027,57535845,57541363,DCTN2,9,hi,known_mic,0.9990721,,,,,,
HsaEX0058029,chr9,-,129009467,129009691,129009346,129009452,SH3GLB2,15,hi,known_mic,0.9998109,,,,,,
HsaEX0005055,chr11,-,6401980,6402081,6401688,6401976,APBB1,4,hi,known_mic,0.9999887,,,,,,
HsaEX0043858,chr2,-,50528651,50531226,50506617,50528624,NRXN1,27,hi,known_mic,0.99862325,,,,,,
HsaEX0057212,chr6,+,75634811,75640683,75640704,75647730,SENP6,21,hi,known_mic,0.99968183,,,,,,
HsaEX0021104,chr2,-,25419535,25427534,25388361,25419514,DTNB,21,hi,known_mic,0.99996316,,,,,,
HsaEX0016967,chr4,+,15033211,15040463,15040487,15052413,CPEB2,24,hi,known_mic,0.99969435,,,,,,
HsaEX1040115,chr8,+,123126189,123126353,123126378,123126507,TBC1D31,25,hi,known_mic,0.77481985,,,,,,
HsaEX0066312,chr1,-,201362391,201363295,201362022,201362385,TNNT2,6,hi,known_mic,0.8588493,,,,,,
HsaEX0053031,chr7,-,103478394,103482872,103472908,103478388,RELN,6,hi,known_mic,0.08671706,,,,,,
putative_microexon_000769555,chrX,-,85923681,85956152,85911338,85923678,CHM,3,,novel_mic,7.67397e-05,chrX_-_85923678_85923681,ENSG00000188419,0.9188791359207288,9.664477879726954,0.0875977016871677,0.01095629
putative_microexon_000771565,chr11,+,13357096,13358220,13358225,13358433,ARNTL,5,,novel_mic,0.0011327065,chr11_+_13358220_13358225,ENSG00000133794,5.090161812762278,7.19599346320882,0.0872528736082162,0.00330042
putative_microexon_000772875,chr2,+,137451023,137475502,137475508,137563220,THSD7B,6,,novel_mic,0.00013986301,chr2_+_137475502_137475508,ENSG00000144229,0.0547356678669331,5.6694371176612925,0.0870402294964444,0.029137893
putative_microexon_000610995,chr4,-,40953785,41013582,40945070,40953782,APBB2,3,,novel_mic,9.132246e-05,chr4_-_40953782_40953785,ENSG00000163697,5.482066634630379,5.489562243519604,0.1182298856819498,0.001986178
putative_microexon_000013391,chr6,+,83118987,83119622,83119644,83119774,DOP1A,22,,novel_mic,0.06878249,chr6_+_83119622_83119644,ENSG00000083097,1.6922939699554418,10.47145373488726,0.8150157887905248,0.01137338
putative_microexon_000013805,chr4,+,20524177,20527848,20527866,20528948,SLIT2,18,,novel_mic,0.018751146,chr4_+_20527848_20527866,ENSG00000145147,8.377768184108403,8.564414181738698,0.809327957470731,0.07959667
putative_microexon_000014632,chr1,-,169925792,169954010,169921781,169925786,KIFAP3,6,,novel_mic,0.8624647,chr1_-_169925786_169925792,ENSG00000075945,0.0027198643954694,9.651496705972724,0.797752875192412,0.18528795
putative_microexon_000014725,chr17,-,3821114,3821248,3818572,3821110,NCBP3,4,,novel_mic,0.0006308901,chr17_-_3821110_3821114,ENSG00000074356,6.516437136091285,9.72159298629212,0.7965459789245807,0.043597072
putative_microexon_001546629,chr7,+,30366295,30396110,30396114,30411897,AC006978.2,4,,novel_mic,1.8898155e-06,chr7_+_30396110_30396114,ENSG00000281593,3.9209609598112793,7.699789003294772,0.0147528735841838,0.00013755543
putative_microexon_001547257,chr9,-,120471552,120471747,120470217,120471549,CDK5RAP2,3,,novel_mic,2.4878127e-05,chr9_-_120471549_120471552,ENSG00000136861,3.964762801974684,6.226226559920013,0.0147241380342667,0.0031777266
putative_microexon_001671400,chr4,+,165207902,165213943,165213947,165219933,KLHL2,4,,novel_mic,3.3072176e-06,chr4_+_165213943_165213947,ENSG00000109466,0.1736681053741123,6.947264479015271,0.0094022989445687,0.00040489197
putative_microexon_001350059,chr11,-,30564549,30580245,30536175,30564543,MPPED2,6,,novel_mic,1.567591e-05,chr11_-_30564543_30564549,ENSG00000066382,1.9647689650937452,6.51425660062021,0.0255229887298319,0.0020362476
putative_microexon_000358411,chr22,-,19939488,19941700,19919004,19939485,TXNRD2,3,,novel_mic,4.4401966e-07,chr22_-_19939485_19939488,ENSG00000184470,0.3326832836261123,8.763777214457557,0.1952701154025806,0.00014956648
putative_microexon_000359147,chrX,-,109686470,109733138,109683372,109686467,ACSL4,3,,novel_mic,8.59045e-05,chrX_-_109686467_109686470,ENSG00000068366,0.1937765604061212,5.871567630683042,0.1949540234475942,0.0016376419
putative_microexon_000877959,chr3,+,50577573,50579719,50579740,50579843,HEMK1,21,,novel_mic,0.00763428,chr3_+_50579719_50579740,ENSG00000114735,9.0922560218552,8.45576761272727,0.0710476188231801,0.00327433
putative_microexon_000205176,chr5,-,88879639,88887501,88823927,88879636,MEF2C,3,,novel_mic,1.7535556e-06,chr5_-_88879636_88879639,ENSG00000081189,1.3136092749600887,8.347518499340195,0.2833965521181355,0.0003258823
putative_microexon_000205776,chr17,-,76156375,76158392,76156321,76156370,RNF157,5,,novel_mic,0.10396092,chr17_-_76156370_76156375,ENSG00000141576,8.127888337772514,6.6000487114052895,0.2829252874141494,0.3078603
putative_microexon_000207651,chr1,+,35817047,35818269,35818274,35822861,AGO4,5,,novel_mic,2.9634014e-06,chr1_+_35818269_35818274,ENSG00000134698,1.158620659735007,8.4085596643448,0.2814195397706038,0.00011356537
putative_microexon_000180600,chr3,-,48715188,48717156,48695418,48715185,IP6K2,3,,novel_mic,1.6251739e-06,chr3_-_48715185_48715188,ENSG00000068745,3.375718982346253,7.308951575758379,0.3045632181857745,0.0002702987
putative_microexon_000182140,chr9,+,68264514,68268820,68268830,68268933,CBWD3,10,,novel_mic,0.0007137773,chr9_+_68268820_68268830,ENSG00000196873,8.44129968873513,6.571366794511985,0.3031123600307632,0.013754883
putative_microexon_000185692,chr10,-,21852548,21882281,21806099,21852523,DNAJC1,25,,novel_mic,0.00030395508,chr10_-_21852523_21852548,ENSG00000136770,10.481671360037703,8.548668734483728,0.2998963740058339,0.0035258988
putative_microexon_000188069,chr4,+,25160753,25164954,25164958,25252320,PI4K2B,4,,novel_mic,8.147841e-07,chr4_+_25164954_25164958,ENSG00000038210,4.543685310748098,9.368761736621076,0.2977988506726192,0.00012684923
putative_microexon_000210800,chr14,-,36723724,36725569,36711482,36723703,SLC25A21,21,,novel_mic,0.74047077,chr14_-_36723703_36723724,ENSG00000183032,5.331937300977524,7.607747937645244,0.2789417970254179,0.20553741
putative_microexon_000871665,chr3,-,16511159,16513822,16493877,16511156,RFTN1,3,,novel_mic,0.00048156895,chr3_-_16511156_16511159,ENSG00000131378,1.0211392135983244,5.397415546429756,0.071936780903301,0.003207038
putative_microexon_000872768,chr19,-,11432725,11435689,11431020,11432722,CCDC151,3,,novel_mic,0.00027601892,chr19_-_11432722_11432725,ENSG00000198003,0.1710727225680813,5.406612525625726,0.071775862269355,0.0003262121
putative_microexon_000872841,chr21,+,17917400,17922101,17922104,18256508,CHODL,3,,novel_mic,4.9969293e-07,chr21_+_17922101_17922104,ENSG00000154645,0.3467282201492828,6.7493049962430405,0.0717643674525924,4.1806838e-05
putative_microexon_000332517,chr5,+,141933401,141933950,141933961,141934257,DELE1,11,,novel_mic,0.0001070378,chr5_+_141933950_141933961,ENSG00000081791,2.850842161752527,9.787718441202394,0.2067206699736728,0.012096271
putative_microexon_000353694,chr1,-,28056637,28057993,28038905,28056631,EYA3,6,,novel_mic,0.18344097,chr1_-_28056631_28056637,ENSG00000158161,3.389352439606673,10.567103914447587,0.1972931029948127,0.024949335
putative_microexon_000354535,chr10,-,67963995,67966682,67956976,67963989,HERC4,6,,novel_mic,0.0009887655,chr10_-_67963989_67963995,ENSG00000148634,1.265017906450319,6.934579156800192,0.1969137926453499,0.00096264575
putative_microexon_001691330,chr16,+,81268131,81268604,81268623,81270158,BCO1,19,,novel_mic,0.0018302683,chr16_+_81268604_81268623,ENSG00000135697,10.186354250099471,6.933157853562895,0.0086256684710515,0.012742543
putative_microexon_001691457,chr16,-,700504,705511,697419,700499,FBXL16,5,,novel_mic,0.004454106,chr16_-_700499_700504,ENSG00000127585,0.1004987749189657,5.6532466173173335,0.0086206896933084,0.0060322983
putative_microexon_001665538,chr18,-,24314712,24317148,24314347,24314699,OSBPL1A,13,,novel_mic,0.7899506,chr18_-_24314699_24314712,ENSG00000141447,2.88304007118614,10.512265424312051,0.0096353591903426,0.6148623
putative_microexon_001667982,chr20,+,34412639,34413163,34413167,34413741,ITCH,4,,novel_mic,2.263254e-05,chr20_+_34413163_34413167,ENSG00000078747,1.7501529435074403,7.878956672243344,0.0095402299166903,0.00018828457
putative_microexon_001498315,chr10,-,45846540,45847124,45841687,45846516,AGAP4,24,,novel_mic,0.9689672,chr10_-_45846516_45846540,ENSG00000188234,9.210695805195252,10.858313101356435,0.0171093750013824,0.4121174
putative_microexon_000008074,chr2,+,203084569,203097616,203097633,203099628,NBEAL1,17,,novel_mic,0.005779657,chr2_+_203097616_203097633,ENSG00000144426,3.1327664474924486,7.330510162596465,0.8991405411145171,0.025187891
putative_microexon_000008601,chr12,+,95485981,95487637,95487659,95494055,METAP2,22,,novel_mic,0.7769084,chr12_+_95487637_95487659,ENSG00000111142,12.068898159065224,7.133024532926153,0.89031052798719,0.33681598
putative_microexon_000009566,chr3,+,2098978,2227606,2227630,2339177,CNTN4,24,,novel_mic,0.0049268287,chr3_+_2227606_2227630,ENSG00000144619,3.430564274485375,10.238510699199464,0.874057293132258,0.06864101
putative_microexon_000011708,chr18,+,8247919,8249075,8249099,8296367,PTPRM,24,,novel_mic,0.0017202841,chr18_+_8249075_8249099,ENSG00000173482,3.353741830677074,7.8441779914127805,0.8396510427507261,0.021994209
putative_microexon_000660834,chrX,+,54532585,54536925,54536928,54539039,GNL3L,3,,novel_mic,0.00055074913,chrX_+_54536925_54536928,ENSG00000130119,3.373435624871272,6.912617107862591,0.1076034480998902,0.002532342
putative_microexon_000605729,chr9,+,36052323,36057361,36057372,36058826,RECK,11,,novel_mic,0.9137967,chr9_+_36057361_36057372,ENSG00000122707,7.468890734123434,8.077039848725997,0.1194078210330251,0.48422772
putative_microexon_000718517,chr3,-,56448390,56468247,56435147,56448386,ERC2,4,,novel_mic,4.60963e-06,chr3_-_56448386_56448390,ENSG00000187672,2.3812553612359237,6.329499951376355,0.0965057473065031,0.00061259576
putative_microexon_000720669,chr18,+,9513289,9516605,9516609,9516844,RALBP1,4,,novel_mic,9.242049e-06,chr18_+_9516605_9516609,ENSG00000017797,3.2403088736962173,6.059786607965471,0.0961264369055232,0.002228377
putative_microexon_000767549,chr14,+,61052135,61066211,61066215,61078829,SLC38A6,4,,novel_mic,9.435472e-06,chr14_+_61066211_61066215,ENSG00000139974,2.0485308866368857,8.235270272955011,0.0879540231444166,0.00035420954
putative_microexon_000767658,chr5,+,7414770,7483355,7483360,7520737,ADCY2,5,,novel_mic,7.7385426e-05,chr5_+_7483355_7483360,ENSG00000078295,0.9265796732133836,5.910869461122559,0.0879310344970763,0.0001725816
putative_microexon_000713742,chr8,+,42394278,42396293,42396296,42398711,VDAC3,3,,novel_mic,0.00013528102,chr8_+_42396293_42396296,ENSG00000078668,3.676221082129589,7.332814208048481,0.0973678161851772,0.0033060089
putative_microexon_000613011,chr1,+,13607306,13609654,13609663,13613686,PDPN,9,,novel_mic,0.41376477,chr1_+_13609654_13609663,ENSG00000162493,6.837132773711463,8.311550650987137,0.1177740109726618,0.19271608
putative_microexon_000614494,chr12,+,49484669,49485386,49485406,49489464,SPATS2,20,,novel_mic,1.3658221e-06,chr12_+_49485386_49485406,ENSG00000123352,2.046361892685354,5.5904099433560175,0.1174521280992578,5.6710014e-05
putative_microexon_000615303,chr1,+,237270616,237282704,237282707,237330877,RYR2,3,,novel_mic,4.4625547e-05,chr1_+_237282704_237282707,ENSG00000198626,4.551003480968535,5.1905922953981865,0.1172816087378071,0.0007107777
putative_microexon_000559999,chr7,-,132815631,132838398,132796577,132815628,CHCHD3,3,,novel_mic,0.03143765,chr7_-_132815628_132815631,ENSG00000106554,7.910503618881322,5.630566612446825,0.1303218388963415,0.011730551
putative_microexon_000000199,chr1,-,35181134,35187000,35178036,35181130,SFPQ,4,,novel_mic,3.220007e-05,chr1_-_35181130_35181134,ENSG00000116560,4.721639394575178,6.249628809178463,0.9999367824231072,0.0022864812
putative_microexon_000000631,chr18,-,54187854,54188873,54166166,54187837,MBD2,17,,novel_mic,5.9728634e-05,chr18_-_54187837_54187854,ENSG00000134046,4.714622520309146,9.60237117249817,0.9994864872983984,0.0010322429
putative_microexon_000002181,chr8,+,132811128,132813883,132813903,132814636,PHF20L1,20,,novel_mic,0.0022206816,chr8_+_132813883_132813903,ENSG00000129292,4.7461516624504485,8.375679825370613,0.9928617036723076,0.009128596
putative_microexon_000002378,chrX,+,150639026,150640435,150640454,150641268,MTM1,19,,novel_mic,0.000107397165,chrX_+_150640435_150640454,ENSG00000171100,7.531389620318758,6.82455301473033,0.991454547739284,0.005053794
putative_microexon_000003491,chr15,+,67772752,67777516,67777539,67806645,MAP2K5,23,,novel_mic,0.82424664,chr15_+_67777516_67777539,ENSG00000137764,9.0605101446181,7.991511562186616,0.9776596857615166,0.5197941
putative_microexon_000003786,chr14,+,93467791,93472575,93472593,93474247,UNC79,18,,novel_mic,0.021328768,chr14_+_93472575_93472593,ENSG00000133958,0.9699118390267852,8.394912539714692,0.972758065308294,0.044986516
putative_microexon_001561793,chr12,-,119697364,119850173,119688064,119697361,CIT,3,,novel_mic,3.7615493e-05,chr12_-_119697361_119697364,ENSG00000122966,3.1266227143671315,6.489274836777708,0.0140517242326422,0.00014165617
putative_microexon_001504515,chr18,-,31640962,31645354,31631146,31640957,B4GALT6,5,,novel_mic,0.00011818555,chr18_-_31640957_31640962,ENSG00000118276,4.138038483841111,8.541726142813562,0.0167988505918297,0.002132086
putative_microexon_001696545,chr18,+,58044708,58057184,58057188,58390645,NEDD4L,4,,novel_mic,0.00016252318,chr18_+_58057184_58057188,ENSG00000049759,9.64574675896327,5.565347503530755,0.0084252873517241,0.00117819
putative_microexon_001698815,chr21,+,45917629,45929627,45929630,45929919,PCBP3,3,,novel_mic,0.00014894581,chr21_+_45929627_45929630,ENSG00000183570,4.604804719994742,7.538220762487686,0.0083390805440762,0.0046854927
putative_microexon_001675844,chr4,+,153152612,153248383,153248388,153275892,TRIM2,5,,novel_mic,1.2422156e-06,chr4_+_153248383_153248388,ENSG00000109654,0.0871058527914079,8.8784602172727,0.0092298851205282,0.00020265259
putative_microexon_001447647,chr3,-,60136104,60536859,60014152,60136098,FHIT,6,,novel_mic,1.0917592e-05,chr3_-_60136098_60136104,ENSG00000189283,3.700199530237004,5.948041676387259,0.0197701150465799,0.00025347082
putative_microexon_000362192,chr18,+,34756043,34756889,34756906,34765960,DTNA,17,,novel_mic,0.0017029551,chr18_+_34756889_34756906,ENSG00000134769,0.6118300738529304,7.358283052585934,0.1936648637798891,0.033434305
putative_microexon_000863924,chr8,-,119817002,119831676,119806401,119816998,TAF2,4,,novel_mic,0.0016912887,chr8_-_119816998_119817002,ENSG00000064313,2.138183987161788,5.411390561438462,0.0730229890376768,0.0073110685
putative_microexon_000312583,chr4,-,67532877,67539839,67530914,67532855,CENPC,22,,novel_mic,0.0021370987,chr4_-_67532855_67532877,ENSG00000145241,9.665227938637706,7.441521981612196,0.2162736850006408,0.005283258
putative_microexon_000203984,chr16,+,1976257,1976314,1976317,1976813,TBL3,3,,novel_mic,0.0001117449,chr16_+_1976314_1976317,ENSG00000183751,7.398205771115514,5.800298824625148,0.2843735649299957,0.0074626356
putative_microexon_000197756,chr16,+,57452915,57460025,57460050,57461171,COQ9,25,,novel_mic,0.00019970666,chr16_+_57460025_57460050,ENSG00000088682,4.030689821894354,6.934579156800192,0.2895025916909075,0.0032738505
putative_microexon_000198710,chr3,+,56594028,56605902,56605906,56613610,CCDC66,4,,novel_mic,0.00041475394,chr3_+_56605902_56605906,ENSG00000180376,7.071662631681618,7.81338547511576,0.2886724138910743,0.0021246711
